m,t,r,sigma,price
0.8197586755020232,1.041738268393942,0.05305700735910068,0.16581590695825474,0.016422889397947088
0.9048910928799824,0.5960706912277456,0.03128281096728362,0.16263501860244492,0.018444328190511672
1.0806530979050994,0.7272249858961934,0.06731998732708637,0.9497295174977586,0.3875508978647645
0.8772314621361688,0.48729986531330893,0.07568938006998428,0.7134546052054258,0.14089686144133445
1.1528422909722447,0.5779519353999758,0.024217894783439258,0.4240755049566199,0.23592707398173451
0.9588121588854932,0.8571549764369999,0.04345850134552311,0.06240657333190725,0.01991622344786953
0.9366280000732929,0.8426853232401617,0.06775694503652606,0.14146381600814587,0.04485773562388329
1.192657708992613,0.7388555855320438,0.04802384274868596,0.7928695186067944,0.41470211142628627
1.036302951814519,0.6086158384786444,0.04355572143612825,0.6406303875457222,0.23106027324025796
0.9132079995111119,0.5841581048383591,0.04641006387572279,0.8441663609745337,0.20973699634961812
0.8431624468230535,0.479835358311207,0.09189494319564989,0.5161781381795837,0.07866384419763295
1.15707886688722,0.294865943493052,0.041955645246468096,0.11772243068552384,0.16952144385010526
1.0079285696994331,0.2627285200603381,0.09546587977137623,0.6172721545165836,0.14166046122213616
0.9402683314806326,0.6032580604121339,0.08859004165793055,0.2674020625214932,0.07429947718881491
0.8546554009731517,0.5003531046037535,0.04804098905608199,0.1607746426414756,0.006193299454922363
0.8420265919280514,0.6127043212831511,0.06081434426527815,0.6363679302163362,0.12316079790237466
1.1162942661633395,0.9874305492518787,0.09308575498086574,0.6192807597385664,0.3597962555660133
1.02466343918648,0.376335178148136,0.043053952923505445,0.8124024889432647,0.21863924712076943
0.8857634423101518,0.24676361545330483,0.04010822340264336,0.8232208892136796,0.10528688961520744
0.9797322238204451,0.9181374400297146,0.06907862485070769,0.14616657489465892,0.07663415508230653
0.9259749072443992,0.5417813858957754,0.08320730992931176,0.5718828330157153,0.14232338333479932
1.1101789264699233,0.3316841133092689,0.07252076995278914,0.16663341559382694,0.13811976729645092
0.9556546543834464,0.31399698465812886,0.06554188438188241,0.13986123706808143,0.019756986549206712
0.8603214540024369,0.260559995914697,0.027194017630689925,0.4759478866919966,0.03833635046959513
1.079310738710593,0.6102759096753683,0.08574458079957666,0.19197657634316526,0.14672338978447397
0.8509865896790978,0.9530339270216357,0.09436119967343302,0.14040048866312627,0.02310275069651785
1.00247877729935,0.5123040310516247,0.05222587050400107,0.11089922773310784,0.047815540900077114
0.8563949751392721,1.014821003748753,0.04628576146728574,0.48017385325732564,0.12835453440240452
0.8771981927105499,1.0113025543274807,0.09482504962975379,0.6069897071292831,0.19876699127589886
0.9768116845840717,0.3551943816516771,0.05847577852967613,0.23486003824235527,0.053268898341963244
1.014608308260448,0.8104566812971852,0.02786547922778242,0.4081769081765218,0.164412986948186
0.8999466810968036,0.5643266597223127,0.036514993707758694,0.5285071357932083,0.11136478164706592
0.8698710001990424,0.44982710746147614,0.020022571128528847,0.8986258528922852,0.16477468313746652
1.1410140950550018,0.5201578715659999,0.0429348330888777,0.2506070477192021,0.1839153161156335
1.0141317189157488,0.8025810935016167,0.09427739731624807,0.19859592782702062,0.12083907128755711
0.967925365372261,0.812923141090468,0.04449500925379656,0.5823207321187088,0.20180732846573235
0.8919923001198076,0.4572400795180878,0.08223440492212736,0.3210347829323883,0.04954837415222241
0.9117057401695817,0.49627902114926903,0.02118886694368622,0.7418648418607674,0.15939830411398764
0.8400945412951217,0.8871919401042752,0.06262170965307452,0.6587685117953499,0.1684719481709961
1.0579099606174664,0.7629836274294155,0.02712793042345519,0.8196644747468933,0.3256508070198182
0.8842056301969886,0.25232492499930964,0.04868910510096731,0.31701779558779314,0.021382256301316765
1.022723524161224,0.6551295104995438,0.09642462907785032,0.04351766528766764,0.08402562297681326
1.1305565710106518,0.24851935215356613,0.08942327073429834,0.8594490443551637,0.2650646209911153
0.8876355043989304,0.5948840421551539,0.07134746174826219,0.23734954276940348,0.03772446058778017
1.0867279696773675,0.9065687199978538,0.09655933710120557,0.2588021810056278,0.20595513465536386
1.0944734415897899,0.7957103338896874,0.08226090000766292,0.32120697680969096,0.21112938188411134
0.9071906731012634,1.0757053954739448,0.05789039895709007,0.521487964384631,0.18103334567263873
1.038179521241353,0.8820989612905243,0.07787996708828872,0.9843574794929849,0.40551346903945407
0.9421516325497717,0.49086869125603844,0.06388371529906157,0.8833891319139805,0.21899340067538609
0.8273338193247176,0.3212973087292389,0.09121168490047898,0.08767557647725464,7.535487517037727e-6
0.9035192784189623,0.8579544449197354,0.023703815716935292,0.5923673386583379,0.16756367647162512
0.9691146980431635,0.9482447288079525,0.0698751370375258,0.024257432626805624,0.033920759382990995
0.8028019701662681,0.3938949041578277,0.08863923676676652,0.6046017260881623,0.06684091878396939
0.9654363240458885,0.7516772493144914,0.09098979322727678,0.7897658988511348,0.27049479621184874
0.9727319569607378,0.8391149740464217,0.073816757049162,0.7898819414819468,0.286835045125288
0.8140505013997503,0.6985132319673675,0.05781831373910923,0.4781152241736641,0.07898904064885315
0.9739667568419217,0.319008091142296,0.051219007717263176,0.30574318204880513,0.06255327108403763
1.008661094790806,0.46822553353590063,0.08108137138334699,0.457915541008053,0.14701399090591555
0.867827801458304,1.0543373218075585,0.022950330796142566,0.9634166079721418,0.297681074884702
1.0409145842028116,0.3688795027617419,0.04684875936937591,0.18853703683594183,0.08089831448830453
0.9219503620757162,1.0101431650204025,0.06405468692217757,0.11400137194951292,0.03521621456387675
0.9709813487426299,0.38492946572829745,0.06951885128955129,0.2222644106211331,0.05215008842248331
0.9026053303428722,1.0225596687933027,0.04498847490811263,0.5984668045346873,0.1955863993620407
0.8099548520040352,0.4941451721643484,0.045915612532057754,0.3514324989544896,0.02814679979998219
1.0419014281118089,0.3566697423303864,0.06233466143666097,0.21045947806278015,0.08882464745621332
0.9376462917615671,0.45446915855229014,0.03260109014184066,0.019193066565461048,1.8566142386064065e-7
0.8764334940232092,0.5441770951980769,0.04088159905283775,0.9728558738259105,0.21199129266933958
1.0748470162249708,0.4410726648811172,0.0977396800293383,0.9174874116369837,0.30601215729033354
0.9400318048885316,0.8064848983929791,0.034218621746963884,0.728227532455163,0.2291006051264417
1.0170269103929965,0.37928682231833044,0.034099585679793244,0.019960877230487173,0.029908176508043893
0.8694690164676229,0.4578792497362103,0.042728015966244065,0.09020703579404714,0.0005169068542990908
1.0774994527200428,0.35442432085882913,0.04044389656902783,0.6357321742504072,0.20491197758632818
1.1950966152014368,0.8944695800616704,0.08538687365645696,0.3599203533456956,0.3153847627889652
0.9351563664305343,0.5436957409705558,0.028169580915275452,0.42657254273766604,0.09674764656287549
0.9329625763588577,0.5088597570804934,0.02258741852139134,0.3854947060252251,0.0795701497109314
0.8421391381125458,0.2781548251799143,0.05818468420065673,0.7816360881126773,0.08852475660341907
0.8863275986032634,1.0802159901679922,0.06304682887438491,0.24155450253415753,0.06898544950693247
0.8681378043556474,0.757396503375807,0.04730006126776773,0.6635883288918947,0.16328722170570514
0.8276963453111709,1.0198936086595674,0.06614017471103664,0.8513284873012635,0.24241310921625164
0.8170776490479622,0.5578557445909698,0.054306238270462465,0.37616570359432017,0.041207753051994755
0.9625345680890386,0.24351548425656538,0.045750050161288955,0.4599272507558825,0.07558680776808208
0.8215117096312559,0.7040265644452428,0.08274944194849977,0.2890715706889333,0.037633952738101994
1.0518099987789835,0.49166324399175965,0.09136027178240518,0.9033997393111688,0.30012627346591175
1.0327498914666429,0.3267739669504444,0.07070563634403541,0.23485155687298864,0.08607421321583608
1.1451993146373483,0.6143732715718943,0.04821222570866736,0.9153214028928014,0.39111717957065056
1.0336056500516542,0.42603137054782036,0.026236449307159113,0.9557887313083755,0.27062047019356333
0.9291247372771138,1.0663018417573893,0.09482778565116749,0.22147325596212,0.09668695386062293
0.9528917101322048,0.4956167382696601,0.09472101885289853,0.897395220876962,0.23576162519889232
0.9500699033138666,1.0625416941359245,0.05100977766834919,0.7370406369908079,0.2821778363527606
1.0774820846816278,0.7721930166647528,0.02006725137093979,0.5624521266698158,0.2509459846937483
0.8996479216216293,0.8256735998708478,0.05939150250492299,0.4278316185166925,0.11794703069645396
1.0728972247848427,0.8892926658169211,0.020676406221277154,0.8966882804576862,0.3838139833806061
1.1191941622973314,0.4125136682833599,0.08870677867534951,0.8173483916323547,0.30166721768352134
0.9316051713058269,0.687955357148134,0.09855791552957707,0.7332146750333081,0.22151038729255879
1.104070670529077,0.8211671225637671,0.06482225903406594,0.6946037199370325,0.33855069515732317
0.9572397569511827,0.943075161448728,0.05614779897347921,0.28423760319645974,0.10905871879345391
1.0011344848267512,0.45199242811060236,0.08689592769891487,0.428601697233596,0.13333843511595944
0.9509619883692297,1.054750199677087,0.02426943267112332,0.5522756434244629,0.20329995510579257
0.9481702136758213,0.888966999666166,0.056616919203868646,0.04241285469717697,0.013814470529497858
0.9163708997803961,0.4005445817799218,0.029800454379699366,0.8398650645169053,0.16565087844938786
1.0123420153624785,1.0923578837315435,0.06861481100470361,0.682267600135817,0.31443452884421536
0.9270053321969726,0.6184140367588942,0.08170359927227408,0.3116393056053661,0.08018527330449954
1.1525504062799166,0.5562156796223223,0.026548442822219274,0.7541626714102092,0.32920942915609425
1.0896599175453843,0.7461790249730549,0.04248442500687315,0.29459382658802186,0.17549161053925633
0.8948719339273604,0.6385117195035868,0.021496500910468674,0.8921170970903162,0.21853320712420737
0.9751384012558452,0.6833988637091749,0.031850384399065845,0.8633323955055027,0.27066634312878973
0.9126718387595835,0.5614521973898656,0.06336752100138869,0.4053669265125166,0.08903494504262932
0.898925600251298,1.0646833655969454,0.03429500186863656,0.37571336385577053,0.11286416258073179
0.9850441224466439,0.26505043194293704,0.0994580733357395,0.27110879724063147,0.06020595304089843
1.1807838693548256,0.3799266623579316,0.08910160929083367,0.7351048829793049,0.31754671875207463
1.0569001741414823,0.34244151386558674,0.05529470658609173,0.2650673456648908,0.10789633213695526
1.1240276291435105,0.8017937177558843,0.03778758195207535,0.3427669871994963,0.21891555668765406
0.8765109147158946,0.9549190082191952,0.0981097591880881,0.9994748961742435,0.31801000877554114
1.0839387186899885,0.6533982993363979,0.03595571023620247,0.35149615632197656,0.1776434797017209
1.1242980073468538,0.4841734709654243,0.03604245388840656,0.870407100912521,0.3274771249365614
0.8055742346208654,0.5471715082366135,0.09273420750533473,0.8264714573291498,0.14580508149324134
0.9038681386381667,0.72467128543662,0.04033129236589148,0.8884578276651569,0.24380350531068135
1.0306857636804014,0.9085188429502469,0.035591283563008946,0.36833599003694156,0.1727010286447545
0.836591647375723,0.31764645953170867,0.09220631131833325,0.3658682010018765,0.025450093941321555
0.9453130046181067,0.34920342321934544,0.07386882787160345,0.8778019437954672,0.18216233152353167
0.9007611494409536,1.032412193709055,0.06568390720865792,0.6123093306985206,0.207670733737369
0.9069264381350234,0.34103370548671297,0.03867173899546548,0.5671789747589137,0.08856015572391385
0.949506735519637,1.0350003252050963,0.08459614401063012,0.8876178003129201,0.34188672911991447
1.0594784199211018,0.9236702579028835,0.07479442360872506,0.27320309956458483,0.17901377688237885
1.0775318783391867,0.374963558745545,0.04560966676542105,0.5169615512989639,0.18217399273005497
0.9103087099799708,0.5153551757118571,0.05516816028682149,0.941637439374006,0.21934976099862075
1.0958407433853727,0.3254820984284337,0.08213270604819944,0.30720898142104747,0.1491536344847707
1.1360379373598424,0.7257755481652748,0.05803174402205499,0.9227002376206964,0.4158708388882063
1.0524022291319557,0.9856572682587885,0.059683514516350636,0.6026704311176257,0.2932231709136786
1.1337852752344393,1.06732463768477,0.0778042102511282,0.31680401777920625,0.2661287424565457
0.9067734615671084,0.5057000741392201,0.025250080894776525,0.7840761529035968,0.17004780949390308
0.9797614707181272,0.7165704207269419,0.09570170686112606,0.4997143769706093,0.1843015425569225
0.9497668287408308,0.2762703361805343,0.07597585884765667,0.7415309711550163,0.13474796569601027
0.8631472368842852,0.387540406013855,0.07453978732984638,0.8172330927777401,0.13484941387289962
0.9917107892957893,0.761643132568175,0.060280056987408945,0.479777740103412,0.18035461631706667
0.8456977796928571,0.9428637188266267,0.030486339282918138,0.6545051629715052,0.16878153240973842
1.0513202077777943,0.6480558605725124,0.07402149131657308,0.2645859191548771,0.14288473215468545
